sig_algo,conf_algo,payload_size_bytes,num_processes,process_idx,verify_mean_ns,verify_std_ns,verify_ci95_lo_ns,verify_ci95_hi_ns,sign_mean_ns,sign_std_ns,sign_ci95_lo_ns,sign_ci95_hi_ns,encrypt_mean_ns,encrypt_std_ns,encrypt_ci95_lo_ns,encrypt_ci95_hi_ns,decrypt_mean_ns,decrypt_std_ns,decrypt_ci95_lo_ns,decrypt_ci95_hi_ns,msg_size_bytes,throughput_mean_msg_s,throughput_std_msg_s,throughput_ci95_lo_msg_s,throughput_ci95_hi_msg_s
RSA,AES-GCM,256,5,-1,179601.97,9966.47,176035.51,183168.42,6613146.40,130606.24,6566409.56,6659883.24,13994.27,8672.67,10890.79,17097.74,6251.67,4133.26,4772.60,7730.73,1564,146.84,3.11,145.73,147.96
RSA,AES-GCM,256,6,-1,235155.43,18747.53,228446.72,241864.15,8067245.03,130289.62,8020621.49,8113868.58,17424.13,7261.58,14825.61,20022.66,9519.63,15472.97,3982.70,15056.56,1820,120.10,2.20,119.31,120.88
RSA,AES-GCM,256,7,-1,309978.40,79703.40,281456.91,338499.89,10547935.67,2533824.10,9641218.36,11454652.97,16060.23,12303.46,11657.49,20462.97,8275.90,5350.94,6361.09,10190.71,2076,96.18,18.41,89.59,102.77
RSA,AES-GCM,256,8,-1,553096.13,36375.35,540079.38,566112.89,17136658.83,94794.50,17102737.06,17170580.61,58807.10,22977.76,50584.61,67029.59,20193.13,9953.71,16631.24,23755.02,2332,56.28,0.38,56.14,56.42
RSA,AES-GCM,512,1,-1,0.00,0.00,0.00,0.00,2162742.80,112608.28,2122446.45,2203039.15,6188.67,8523.88,3138.44,9238.90,0.00,0.00,0.00,0.00,796,462.32,23.65,453.85,470.78
RSA,AES-GCM,512,2,-1,69823.67,6662.32,67439.59,72207.75,4213607.13,126721.71,4168260.35,4258953.91,6241.53,4959.35,4466.85,8016.21,1369.63,658.39,1134.03,1605.24,1052,233.25,6.89,230.79,235.72
RSA,AES-GCM,512,3,-1,139477.47,10424.38,135747.15,143207.78,6264174.80,109565.83,6224967.17,6303382.43,7834.70,6950.51,5347.49,10321.91,2401.80,2089.31,1654.15,3149.45,1308,155.97,2.86,154.94,156.99
RSA,AES-GCM,512,4,-1,214227.43,50206.92,196261.12,232193.75,7960433.43,1352423.37,7476474.94,8444391.92,27504.07,24968.50,18569.20,36438.93,7767.90,5455.80,5815.57,9720.23,1564,126.60,29.20,116.15,137.05
RSA,AES-GCM,512,5,-1,199642.37,24327.25,190936.97,208347.76,6827501.40,310369.56,6716437.08,6938565.72,27032.57,23015.00,18796.75,35268.38,7691.83,6460.95,5379.81,10003.86,1820,141.94,7.03,139.42,144.45
RSA,AES-GCM,512,6,-1,229366.67,21852.55,221546.83,237186.50,7768338.17,254576.42,7677239.17,7859437.17,21347.93,12445.20,16894.48,25801.39,8459.90,6846.68,6009.85,10909.95,2076,124.71,4.18,123.22,126.21
RSA,AES-GCM,512,7,-1,275181.40,20124.49,267979.94,282382.86,9024752.33,157018.81,8968563.87,9080940.79,15474.57,14714.47,10209.06,20740.07,5942.77,2826.52,4931.31,6954.22,2332,107.32,2.07,106.58,108.06
RSA,AES-GCM,512,8,-1,346161.10,24905.38,337248.82,355073.38,10924553.60,295628.43,10818764.32,11030342.88,45340.13,23723.16,36850.91,53829.36,11653.73,3444.16,10421.26,12886.21,2588,88.35,2.57,87.43,89.27
RSA,AES-GCM,1024,1,-1,0.00,0.00,0.00,0.00,1401911.20,62555.61,1379525.96,1424296.44,6344.30,8707.23,3228.46,9460.14,0.00,0.00,0.00,0.00,1308,711.58,32.30,700.02,723.13
RSA,AES-GCM,1024,2,-1,48668.83,5546.64,46683.99,50653.67,2742069.23,67863.74,2717784.51,2766353.96,9558.73,14187.83,4481.68,14635.78,2107.97,3349.19,909.48,3306.46,1564,357.13,10.30,353.44,360.82
RSA,AES-GCM,1024,3,-1,109573.73,57719.95,88918.92,130228.55,4120951.10,94843.14,4087011.92,4154890.28,15529.40,15732.51,9899.59,21159.21,4416.90,5366.34,2496.58,6337.22,1820,235.54,7.94,232.70,238.39
RSA,AES-GCM,1024,4,-1,148204.23,11345.80,144144.19,152264.28,5496557.17,103435.67,5459543.19,5533571.15,15872.83,11793.87,11652.45,20093.22,5677.10,3461.81,4438.31,6915.89,2076,176.55,3.55,175.28,177.82
