sig_algo,conf_algo,payload_size_bytes,num_processes,process_idx,verify_mean_ns,verify_std_ns,verify_ci95_lo_ns,verify_ci95_hi_ns,sign_mean_ns,sign_std_ns,sign_ci95_lo_ns,sign_ci95_hi_ns,encrypt_mean_ns,encrypt_std_ns,encrypt_ci95_lo_ns,encrypt_ci95_hi_ns,decrypt_mean_ns,decrypt_std_ns,decrypt_ci95_lo_ns,decrypt_ci95_hi_ns,msg_size_bytes,throughput_mean_msg_s,throughput_std_msg_s,throughput_ci95_lo_msg_s,throughput_ci95_hi_msg_s
RSA,None,256,8,-1,554498.17,245003.36,466824.84,642171.49,5180485.97,399970.75,5037358.27,5323613.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2304,176.07,16.28,170.24,181.90
RSA,None,512,1,-1,0.00,0.00,0.00,0.00,683223.13,143680.33,631807.79,734638.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,768,1508.18,222.67,1428.50,1587.86
RSA,None,512,2,-1,93282.13,90916.62,60748.04,125816.23,1301260.77,178651.44,1237331.17,1365190.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1024,734.30,100.49,698.34,770.26
RSA,None,512,3,-1,166243.37,136779.35,117297.51,215189.23,1947984.67,255143.77,1856682.64,2039286.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1280,483.85,65.12,460.54,507.15
RSA,None,512,4,-1,219044.90,113360.63,178479.32,259610.48,2547849.17,232952.20,2464488.29,2631210.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1536,365.27,34.22,353.02,377.51
RSA,None,512,5,-1,347668.27,188860.55,280085.39,415251.15,3298938.77,341244.62,3176825.95,3421051.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1792,278.45,31.37,267.22,289.67
RSA,None,512,6,-1,533265.10,243860.78,446000.64,620529.56,4866896.50,934147.97,4532615.94,5201177.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2048,192.50,39.19,178.48,206.53
RSA,None,512,7,-1,748847.53,363503.79,618769.37,878925.69,6981443.73,580972.72,6773545.31,7189342.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2304,130.78,12.82,126.19,135.37
RSA,None,512,8,-1,823856.90,312475.15,712039.10,935674.70,7877853.40,544032.65,7683173.82,8072532.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2560,115.78,9.79,112.28,119.29
RSA,None,1024,1,-1,0.00,0.00,0.00,0.00,1061449.53,284934.69,959486.97,1163412.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1280,987.14,176.30,924.06,1050.23
RSA,None,1024,2,-1,121974.60,67686.11,97753.44,146195.76,1994844.47,230151.75,1912485.72,2077203.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1536,479.26,54.16,459.88,498.64
RSA,None,1024,3,-1,216610.10,101818.51,180174.81,253045.39,2916188.57,339061.64,2794856.92,3037520.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1792,323.36,33.42,311.40,335.32
RSA,None,1024,4,-1,401161.80,162679.78,342947.59,459376.01,4062983.37,497120.63,3885091.03,4240875.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2048,227.83,28.59,217.60,238.06
RSA,None,1024,5,-1,482500.07,175782.15,419597.23,545402.90,4967801.13,581528.99,4759703.66,5175898.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2304,186.02,20.27,178.77,193.27
RSA,None,1024,6,-1,582737.30,222364.04,503165.35,662309.25,5631831.77,970946.28,5284383.10,5979280.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2560,167.78,40.08,153.44,182.12
RSA,None,1024,7,-1,452999.80,205192.94,379572.45,526427.15,4241101.53,490140.98,4065706.84,4416496.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2816,216.04,23.01,207.81,224.27
RSA,None,1024,8,-1,532049.03,209352.25,457133.29,606964.78,4957566.50,362390.68,4827886.66,5087246.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3072,183.50,14.89,178.17,188.83
RSA,AES-GCM,8,1,-1,0.00,0.00,0.00,0.00,681512.97,164972.02,622478.49,740547.45,36840.67,23980.93,28259.20,45422.13,0.00,0.00,0.00,0.00,292,1458.17,276.64,1359.18,1557.16
RSA,AES-GCM,8,2,-1,111668.83,112709.32,71336.32,152001.35,1307767.50,188367.50,1240361.06,1375173.94,90310.50,67229.47,66252.74,114368.26,29137.17,22151.86,21210.23,37064.11,548,673.93,115.62,632.56,715.31
RSA,AES-GCM,8,3,-1,174328.13,115854.79,132870.03,215786.24,1888921.17,191498.01,1820394.48,1957447.85,106856.20,69450.19,82003.77,131708.63,41641.13,13658.49,36753.51,46528.76,804,461.55,59.82,440.15,482.96
RSA,AES-GCM,8,4,-1,224943.67,96743.13,190324.58,259562.75,2550133.30,259596.43,2457237.91,2643028.69,143734.70,105298.47,106054.13,181415.27,67972.40,36538.57,54897.24,81047.56,1060,340.28,38.07,326.66,353.90
RSA,AES-GCM,8,5,-1,338316.67,172278.73,276667.52,399965.82,3227001.83,320890.49,3112172.65,3341831.02,194345.03,133086.57,146720.62,241969.45,89836.10,33657.23,77792.01,101880.19,1316,264.61,31.78,253.24,275.98
RSA,AES-GCM,8,6,-1,390242.57,148861.94,336973.00,443512.13,3838097.60,404836.75,3693228.63,3982966.57,210694.80,98522.34,175439.03,245950.57,103782.93,25602.90,94621.05,112944.81,1572,223.51,25.00,214.57,232.46
RSA,AES-GCM,8,7,-1,556427.03,314273.27,443965.79,668888.28,4533515.07,379838.54,4397591.59,4669438.54,284865.97,173092.49,222925.61,346806.32,148613.87,57383.13,128079.58,169148.16,1828,184.68,23.77,176.18,193.19
RSA,AES-GCM,8,8,-1,568390.53,197484.28,497721.69,639059.38,5103505.90,354444.34,4976669.62,5230342.18,290466.27,137059.95,241419.99,339512.54,159812.73,49837.50,141978.61,177646.85,2084,165.15,16.46,159.26,171.04
RSA,AES-GCM,16,1,-1,0.00,0.00,0.00,0.00,713319.30,213323.18,636982.58,789656.02,43009.03,33132.51,31152.72,54865.35,0.00,0.00,0.00,0.00,300,1409.52,299.78,1302.25,1516.80
RSA,AES-GCM,16,2,-1,195885.87,185333.88,129564.99,262206.74,1471258.57,296535.31,1365144.77,1577372.36,174799.33,170509.80,113783.19,235815.48,53273.70,67089.83,29265.91,77281.49,556,580.68,164.53,521.80,639.55
RSA,AES-GCM,16,3,-1,209348.40,134806.80,161108.41,257588.39,1994712.43,254723.93,1903560.65,2085864.22,130196.20,82066.00,100829.26,159563.14,51538.77,22769.81,43390.69,59686.84,812,431.94,69.41,407.10,456.78
RSA,AES-GCM,16,4,-1,224495.90,97643.20,189554.73,259437.07,2534981.83,186520.34,2468236.39,2601727.28,130649.80,74226.47,104088.20,157211.40,59561.90,18432.11,52966.06,66157.74,1068,342.42,31.69,331.08,353.76
RSA,AES-GCM,16,5,-1,289279.37,168883.31,228845.25,349713.48,3159972.50,282033.46,3059048.12,3260896.88,179657.10,190080.05,111637.83,247676.37,85218.47,57356.81,64693.60,105743.34,1324,274.36,30.11,263.58,285.13
RSA,AES-GCM,16,6,-1,404534.80,157854.97,348047.13,461022.47,3869840.83,347180.42,3745603.92,3994077.75,207641.00,75498.71,180624.13,234657.87,107792.00,27456.41,97966.85,117617.15,1580,220.71,23.97,212.14,229.29
RSA,AES-GCM,16,7,-1,539270.30,330156.33,421125.38,657415.22,4556825.07,321370.04,4441824.27,4671825.86,263080.63,116396.30,221428.75,304732.52,149168.37,81605.68,119966.15,178370.58,1836,184.40,21.11,176.85,191.95
RSA,AES-GCM,16,8,-1,584091.67,251331.05,494154.01,674029.33,5202829.07,367484.56,5071326.41,5334331.73,312266.63,145534.57,260187.76,364345.51,163942.10,50720.27,145792.08,182092.12,2092,161.61,16.95,155.55,167.68
RSA,AES-GCM,32,1,-1,0.00,0.00,0.00,0.00,697778.10,149093.98,644425.50,751130.70,50027.47,45555.03,33725.81,66329.12,0.00,0.00,0.00,0.00,316,1400.50,270.45,1303.73,1497.28
RSA,AES-GCM,32,2,-1,121899.37,104120.04,84640.49,159158.25,1464578.47,388286.96,1325631.76,1603525.17,126254.07,96565.94,91698.39,160809.74,28294.47,20117.87,21095.38,35493.55,572,618.68,148.71,565.47,671.90
RSA,AES-GCM,32,3,-1,226736.47,240093.36,140820.16,312652.77,1989115.27,217378.23,1911327.47,2066903.07,137498.37,97038.03,102773.75,172222.98,52555.63,33742.23,40481.13,64630.13,828,429.89,68.66,405.32,454.46
RSA,AES-GCM,32,4,-1,280145.93,162331.56,222056.33,338235.53,2693433.87,387906.65,2554623.25,2832244.48,178598.43,130888.27,131760.67,225436.20,74991.03,35127.81,62420.71,87561.36,1084,320.13,51.39,301.74,338.52
RSA,AES-GCM,32,5,-1,336266.50,249514.11,246979.02,425553.98,3208604.87,321870.33,3093425.05,3323784.68,182021.97,141353.38,131439.31,232604.62,87316.23,52371.29,68575.41,106057.06,1340,268.51,34.66,256.11,280.92
RSA,AES-GCM,32,6,-1,377945.80,189719.03,310055.72,445835.88,3766270.00,237423.45,3681309.11,3851230.89,195317.83,124006.42,150942.71,239692.96,102049.33,42722.83,86761.16,117337.50,1596,227.76,22.12,219.85,235.68
RSA,AES-GCM,32,7,-1,516398.30,222995.84,436600.26,596196.34,4506139.23,349639.81,4381022.24,4631256.23,287141.77,176697.14,223911.51,350372.02,144589.57,70337.28,119419.69,169759.44,1852,186.33,22.23,178.38,194.29
RSA,AES-GCM,32,8,-1,603777.30,276712.34,504757.06,702797.54,5217144.90,386396.43,5078874.71,5355415.09,315985.73,191185.61,247570.84,384400.63,167509.40,72057.22,141724.06,193294.74,2108,160.94,18.06,154.48,167.40
RSA,AES-GCM,64,1,-1,0.00,0.00,0.00,0.00,737791.17,195079.71,667982.79,807599.54,57183.63,57564.41,36584.48,77782.79,0.00,0.00,0.00,0.00,348,1333.09,277.31,1233.86,1432.32
RSA,AES-GCM,64,2,-1,144365.50,122610.92,100489.74,188241.26,1449513.20,271284.63,1352435.24,1546591.16,155546.33,175822.67,92629.00,218463.67,41197.90,40846.61,26581.13,55814.67,604,602.92,150.92,548.91,656.93
