sig_algo,conf_algo,payload_size_bytes,num_processes,process_idx,verify_mean_ns,verify_std_ns,verify_ci95_lo_ns,verify_ci95_hi_ns,sign_mean_ns,sign_std_ns,sign_ci95_lo_ns,sign_ci95_hi_ns,encrypt_mean_ns,encrypt_std_ns,encrypt_ci95_lo_ns,encrypt_ci95_hi_ns,decrypt_mean_ns,decrypt_std_ns,decrypt_ci95_lo_ns,decrypt_ci95_hi_ns,msg_size_bytes,throughput_mean_msg_s,throughput_std_msg_s,throughput_ci95_lo_msg_s,throughput_ci95_hi_msg_s
RSA,AES-GCM,16,6,-1,242917.87,45195.17,226744.98,259090.75,5370557.30,244075.34,5283216.06,5457898.54,59682.27,21104.46,52130.13,67234.40,14986.93,2558.28,14071.46,15902.40,1580,176.19,8.01,173.32,179.05
RSA,AES-GCM,16,7,-1,255946.00,79945.42,227337.90,284554.10,4928286.40,1266677.55,4475011.66,5381561.14,73829.83,37190.49,60521.39,87138.28,16516.27,5635.30,14499.70,18532.83,1836,201.79,49.36,184.13,219.46
RSA,AES-GCM,16,8,-1,275063.80,63352.27,252393.48,297734.12,4818372.47,275551.49,4719767.63,4916977.30,75670.60,29721.79,65034.79,86306.41,17293.03,3447.76,16059.27,18526.80,2092,193.59,12.20,189.22,197.95
RSA,AES-GCM,32,1,-1,0.00,0.00,0.00,0.00,617373.77,85327.77,586839.62,647907.92,9330.80,4963.40,7554.67,11106.93,0.00,0.00,0.00,0.00,316,1615.54,151.61,1561.29,1669.80
RSA,AES-GCM,32,2,-1,39549.97,16509.85,33641.99,45457.94,1245866.90,114158.86,1205015.68,1286718.12,17492.13,8263.67,14535.02,20449.25,2378.93,1112.34,1980.89,2776.98,572,771.74,63.23,749.12,794.37
RSA,AES-GCM,32,3,-1,81823.07,30953.33,70746.56,92899.57,1904942.67,146804.90,1852409.21,1957476.12,31368.83,16022.98,25635.08,37102.58,5008.47,2931.26,3959.53,6057.41,828,497.42,39.51,483.28,511.56
RSA,AES-GCM,32,4,-1,113899.73,31035.77,102793.72,125005.74,2519968.57,206838.98,2445952.19,2593984.95,36176.20,16555.84,30251.77,42100.63,6746.93,1773.06,6112.45,7381.42,1084,376.12,30.00,365.38,386.86
RSA,AES-GCM,32,5,-1,151772.43,35780.06,138968.70,164576.16,3154943.20,237530.55,3069943.98,3239942.42,44799.17,20832.00,37344.53,52253.80,9639.40,3055.92,8545.85,10732.95,1340,299.15,21.68,291.39,306.91
RSA,AES-GCM,32,6,-1,183211.43,29634.32,172606.93,193815.94,3778499.10,191361.20,3710021.38,3846976.82,50755.13,17849.77,44367.68,57142.59,11920.30,3189.55,10778.93,13061.67,1596,249.21,13.59,244.35,254.07
RSA,AES-GCM,32,7,-1,194885.13,10158.67,191249.90,198520.37,4288816.07,191887.18,4220150.12,4357482.01,44052.87,4952.01,42280.81,45824.92,12404.57,996.26,12048.06,12761.07,1852,220.64,9.11,217.38,223.90
